Statistical profiling result from cluster_result.log, (1962 ticks, 9 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     29    1.5%          /usr/lib/system/libsystem_pthread.dylib
     24    1.2%          /usr/lib/system/libsystem_malloc.dylib
     21    1.1%          /usr/lib/system/libsystem_c.dylib
     13    0.7%          /usr/lib/libc++.1.dylib
      7    0.4%          /usr/lib/system/libsystem_kernel.dylib
      5    0.3%          /usr/lib/system/libsystem_platform.dylib
      1    0.1%          /usr/lib/system/libdyld.dylib

 [JavaScript]:
   ticks  total  nonlib   name
     11    0.6%    0.6%  JS: *resolve node:path:1095:10
      2    0.1%    0.1%  JS: ^normalizeString node:path:66:25
      2    0.1%    0.1%  JS: *parse /Users/robertomora/Documents/Coding/Backend Course/Backend Codes/Entregables/Backend-Coder/Entregable14_RobertoMora/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:269:30
      2    0.1%    0.1%  JS: *Module._nodeModulePaths node:internal/modules/cjs/loader:715:37
      1    0.1%    0.1%  RegExp: \r?\n\s*?$
      1    0.1%    0.1%  JS: ^write_ node:_http_outgoing:831:16
      1    0.1%    0.1%  JS: ^verb /Users/robertomora/Documents/Coding/Backend Course/Backend Codes/Entregables/Backend-Coder/Entregable14_RobertoMora/node_modules/express-handlebars/dist/express-handlebars.js:30:18
      1    0.1%    0.1%  JS: ^validateNumber node:internal/validators:176:24
      1    0.1%    0.1%  JS: ^update node:internal/crypto/hash:99:40
      1    0.1%    0.1%  JS: ^startSession /Users/robertomora/Documents/Coding/Backend Course/Backend Codes/Entregables/Backend-Coder/Entregable14_RobertoMora/node_modules/mongodb/lib/mongo_client.js:240:17
      1    0.1%    0.1%  JS: ^set /Users/robertomora/Documents/Coding/Backend Course/Backend Codes/Entregables/Backend-Coder/Entregable14_RobertoMora/node_modules/express/lib/application.js:359:23
      1    0.1%    0.1%  JS: ^serialize /Users/robertomora/Documents/Coding/Backend Course/Backend Codes/Entregables/Backend-Coder/Entregable14_RobertoMora/node_modules/bson/lib/bson.js:110:19
      1    0.1%    0.1%  JS: ^ret /Users/robertomora/Documents/Coding/Backend Course/Backend Codes/Entregables/Backend-Coder/Entregable14_RobertoMora/node_modules/handlebars/dist/cjs/handlebars/runtime.js:188:15
      1    0.1%    0.1%  JS: ^resolveBSONOptions /Users/robertomora/Documents/Coding/Backend Course/Backend Codes/Entregables/Backend-Coder/Entregable14_RobertoMora/node_modules/mongodb/lib/bson.js:55:28
      1    0.1%    0.1%  JS: ^readFileAfterClose node:internal/fs/read_file_context:46:28
      1    0.1%    0.1%  JS: ^pushStackLiteral /Users/robertomora/Documents/Coding/Backend Course/Backend Codes/Entregables/Backend-Coder/Entregable14_RobertoMora/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:877:46
      1    0.1%    0.1%  JS: ^push /Users/robertomora/Documents/Coding/Backend Course/Backend Codes/Entregables/Backend-Coder/Entregable14_RobertoMora/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:868:22
      1    0.1%    0.1%  JS: ^parseFileMode node:internal/validators:70:23
      1    0.1%    0.1%  JS: ^onwrite node:internal/streams/writable:428:17
      1    0.1%    0.1%  JS: ^next /Users/robertomora/Documents/Coding/Backend Course/Backend Codes/Entregables/Backend-Coder/Entregable14_RobertoMora/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:478:32
      1    0.1%    0.1%  JS: ^moveHelperToHooks /Users/robertomora/Documents/Coding/Backend Course/Backend Codes/Entregables/Backend-Coder/Entregable14_RobertoMora/node_modules/handlebars/dist/cjs/handlebars/helpers.js:48:27
      1    0.1%    0.1%  JS: ^isUint8Array /Users/robertomora/Documents/Coding/Backend Course/Backend Codes/Entregables/Backend-Coder/Entregable14_RobertoMora/node_modules/bson/lib/parser/utils.js:60:22
      1    0.1%    0.1%  JS: ^insert node:internal/timers:355:16
      1    0.1%    0.1%  JS: ^go$readFile /Users/robertomora/Documents/Coding/Backend Course/Backend Codes/Entregables/Backend-Coder/Entregable14_RobertoMora/node_modules/graceful-fs/graceful-fs.js:117:26
      1    0.1%    0.1%  JS: ^get node:_http_incoming:112:16
      1    0.1%    0.1%  JS: ^fromString /Users/robertomora/Documents/Coding/Backend Course/Backend Codes/Entregables/Backend-Coder/Entregable14_RobertoMora/node_modules/mongodb/lib/utils.js:315:22
      1    0.1%    0.1%  JS: ^ensureBuffer /Users/robertomora/Documents/Coding/Backend Course/Backend Codes/Entregables/Backend-Coder/Entregable14_RobertoMora/node_modules/bson/lib/ensure_buffer.js:15:22
      1    0.1%    0.1%  JS: ^deserializeObject /Users/robertomora/Documents/Coding/Backend Course/Backend Codes/Entregables/Backend-Coder/Entregable14_RobertoMora/node_modules/bson/lib/parser/deserializer.js:65:27
      1    0.1%    0.1%  JS: ^compile /Users/robertomora/Documents/Coding/Backend Course/Backend Codes/Entregables/Backend-Coder/Entregable14_RobertoMora/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
      1    0.1%    0.1%  JS: ^closeSync /Users/robertomora/Documents/Coding/Backend Course/Backend Codes/Entregables/Backend-Coder/Entregable14_RobertoMora/node_modules/graceful-fs/graceful-fs.js:72:24
      1    0.1%    0.1%  JS: ^checkIsHttpToken node:_http_common:210:26
      1    0.1%    0.1%  JS: ^append /Users/robertomora/Documents/Coding/Backend Course/Backend Codes/Entregables/Backend-Coder/Entregable14_RobertoMora/node_modules/mongodb/lib/utils.js:813:11
      1    0.1%    0.1%  JS: ^_copyActual node:buffer:251:21
      1    0.1%    0.1%  JS: ^_advanceClusterTime /Users/robertomora/Documents/Coding/Backend Course/Backend Codes/Entregables/Backend-Coder/Entregable14_RobertoMora/node_modules/mongodb/lib/sdam/common.js:45:29
      1    0.1%    0.1%  JS: ^Readable.read node:internal/streams/readable:402:35
      1    0.1%    0.1%  JS: ^Module.load node:internal/modules/cjs/loader:1069:33
      1    0.1%    0.1%  JS: ^Long.fromBits /Users/robertomora/Documents/Coding/Backend Course/Backend Codes/Entregables/Backend-Coder/Entregable14_RobertoMora/node_modules/bson/lib/long.js:89:30
      1    0.1%    0.1%  JS: ^<anonymous> node:internal/util:352:24
      1    0.1%    0.1%  JS: ^<anonymous> node:internal/fs/utils:685:42
